Title,Metadata Manager,Metadata Due
"AI DOC, THE : OR HOW I BECAME AN APOCALOPTIMIST",Marissa,8/13/2026
"AMERICAN WEREWOLF IN LONDON, AN (NEW TO 4K - DOVI)",Finbarr,8/25/2026
ARMY OF DARKNESS (UHD BACKFILL),Finbarr,8/6/2026
CHRISTMAS AT THE KRINGLES,Finbarr,11/13/2026
DANTE'S PEAK (NEW TO 4K),Finbarr,9/8/2026
DISCLOSURE DAY,Marissa,7/10/2026
DUNE (UHD BACKFILL),Finbarr,11/19/2026
"EAGLE, THE (Focus backfill 26)",Marissa,7/6/2026
"END WE START FROM, THE (Japan)",Marissa,7/7/2026
EPiC: ELVIS PRESLEY IN CONCERT,Marissa,7/10/2026
FINDING EMILY,Finbarr,9/28/2026
"FIX, THE",Marissa,9/25/2026
FOCKER-IN-LAW,Marissa,12/11/2026
FORBIDDEN FRUITS (EPO),Marissa,7/9/2026
FORGOTTEN ISLAND,Marissa,9/15/2026
FRANKENSTEIN MEETS THE WOLF MAN (NEW TO 4K),Marissa,7/21/2026
"FRIGHTENERS, THE (NEW TO 4K)",Marissa,9/1/2026
"GHOST OF FRANKENSTEIN, THE (NEW TO 4K)",Finbarr,7/22/2026
GIRLS LIKE GIRLS,Finbarr,7/30/2026
HONEY DON'T,Marissa,8/11/2026
HOT SPOT (2026),Marissa,8/21/2026
I LOVE BOOSTERS,Marissa,7/24/2026
"INCOMER, THE",Finbarr,11/11/2026
IRON MAIDEN: BURNING AMBITION,Marissa,7/6/2026
KEROUAC'S ROAD: THE BEAT OF A NATION,Finbarr,7/21/2026
"LAST KISS, THE",Finbarr,8/4/2026
LORNE,Finbarr,9/5/2026
LOST IN TRANSLATION,Finbarr,7/14/2026
METALLICA SAVED MY LIFE,Marissa,10/6/2026
MICHAEL,Marissa,7/9/2026
MIDWINTER BREAK,Marissa,7/9/2026
MILK,Finbarr,7/8/2026
MINIONS & MONSTERS,Marissa,7/24/2026
NICKELS,Finbarr,8/25/2026
OBSESSION (2025),Marissa,9/11/2026
"ODYSSEY, THE (2026)",Marissa,7/21/2026
ONE NIGHT ONLY,Marissa,10/16/2026
OTHER MOMMY,Finbarr,10/23/2026
PERIODICAL,Finbarr,9/20/2026
PRESSURE (2026),Finbarr,9/6/2026
SEED OF CHUCKY,Finbarr,7/3/2026
SENSE AND SENSIBILITY (2026),Marissa,10/8/2026
"SERIOUS MAN, A",Marissa,7/3/2026
SESSION 9 (FOCUS BACKFILL '26),Marissa,7/2/2026
SHE-WOLF OF LONDON (NEW TO 4K),Finbarr,8/4/2026
SIN NOMBRE (FOCUS BACKFILL '26),Finbarr,7/2/2026
SIN NOMBRE (FOCUS BACKFILL '26),Finbarr,7/2/2026
SOMETHING NEW (FOCUS BACKFILL '26),Marissa,7/2/2026
SON OF FRANKENSTEIN (NEW TO UHD),Marissa,7/28/2026
SPY GAME (New to UHD),Marissa,10/6/2026
STOP! THAT! TRAIN!,Finbarr,8/27/2026
STRUNG (2026),Marissa,8/12/2026
"SUPER MARIO GALAXY MOVIE, THE",Marissa,7/31/2026
TAKING WOODSTOCK (FOCUS BACKFILL 2026),Finbarr,7/3/2026
"TRUST ME, I'M A DOCTOR",Finbarr,10/6/2026
UNITED 93 (NEW TO 4K),Marissa,7/17/2026
UNLEASHED (FOCUS BACKFILL 2026) (SLF to MLF),Finbarr,7/3/2026
"UPRISING, THE",Finbarr,9/8/2026
VANITY FAIR (FOCUS BACKFILL 2026),Marissa,7/3/2026
WAIST DEEP (FOCUS BACKFILL 2026),Marissa,7/10/2026
WEREWOLF OF LONDON (NEW TO 4K),Finbarr,8/4/2026
WICKED: ONE WONDERFUL NIGHT,Marissa,8/12/2026
"YOU, ME & TUSCANY",Finbarr,7/16/2026
